replication,method,asep,aaep
62,mean,40.40424019746489,3.6539278107882245
62,median,40.6686893321766,3.5880272757073297
62,ar1,40.44033324718681,3.4866599319772824
63,mean,36.14379300048321,3.4756510444257187
63,median,36.63629573414119,3.4521474242641648
63,ar1,30.42784029690977,3.2347945303399968
64,mean,36.263283044405455,3.5511562117040607
64,median,36.6034580667079,3.4860744840733804
64,ar1,35.34467042682073,3.380437659136287
65,mean,28.091682376147297,3.4210364467531096
65,median,28.138258964278876,3.371640821063061
65,ar1,31.64512113150627,3.3195023169840563
66,mean,40.709586611529076,3.564535180994332
66,median,39.982889941533834,3.485351131477817
66,ar1,40.48426291025284,3.436278431870194
67,mean,36.708780050960364,3.4754073097693245
67,median,36.6569290603822,3.428683950564667
67,ar1,34.949550913585504,3.372570572979904
68,mean,44.99617243735809,3.4747765223855946
68,median,46.49605745602429,3.42597275159809
68,ar1,41.56510027710561,3.328773386338067
69,mean,32.029883567454355,3.46037996989134
69,median,32.727863565306016,3.4394324874095865
69,ar1,30.168318472428325,3.328462476615556
70,mean,30.602634683777907,3.3865899798999326
70,median,28.819353700036352,3.2878225635619858
70,ar1,29.541692332170022,3.248011597087481
71,mean,32.29052713583142,3.4793589245693504
71,median,32.201509318192116,3.4246590910238717
71,ar1,32.39142370996616,3.276694921708042
72,mean,33.78387532725785,3.6041666851278094
72,median,34.40153740279308,3.551660295390056
72,ar1,30.96234472052248,3.4010977000461544
73,mean,32.015388615741955,3.4537308852413475
73,median,31.29346883195912,3.384782480705186
73,ar1,33.48790947681942,3.307143333473906
74,mean,48.20897328610026,3.565922598384331
74,median,50.28700902969867,3.5241567418534925
74,ar1,43.80908482847864,3.402802220972142
75,mean,35.22180203307033,3.552361009955325
75,median,34.57198022553147,3.481658619120328
75,ar1,36.27747921916737,3.381492467829272
76,mean,28.788558916289023,3.4325143621987855
76,median,29.761793223046205,3.4093726284612518
76,ar1,28.001299103013462,3.2875067465168852
77,mean,29.460949760686734,3.448459560483665
77,median,29.70276243542991,3.398285283953437
77,ar1,61.20407821764909,3.4763844972871945
78,mean,40.50007168826087,3.517232757234963
78,median,40.15571770244278,3.462025184357586
78,ar1,38.97420334220164,3.3762035972829785
79,mean,38.15314467169115,3.5183608891298572
79,median,38.11507359640599,3.486097302162328
79,ar1,33.89061885983294,3.250137005147987
80,mean,35.25837743145988,3.5795722629616544
80,median,34.35874711160447,3.480042851054281
80,ar1,37.228617348721556,3.4025981041204374
81,mean,31.175625719235022,3.450290927958787
81,median,31.25753904273538,3.3700854544062824
81,ar1,47.945110622513326,3.4093779130373365
82,mean,43.64471230408756,3.6498379893212
82,median,42.858862621644015,3.548169172404304
82,ar1,40.78186755110177,3.4523226717010487
83,mean,43.78589786522621,3.703000993057379
83,median,43.55521763911065,3.6502159564346175
83,ar1,41.328794613239026,3.508194367188513
84,mean,41.35827318578755,3.4449794404153753
84,median,41.66164454585878,3.3421441326333943
84,ar1,40.54363551950112,3.276302533314205
