design,replication,method,asep
random_rows,155,random_forest,24.775165614476432
random_rows,156,naive,41.050470166161766
random_rows,156,ar1,35.55006459206485
random_rows,156,random_forest,29.704994743142812
random_rows,157,naive,55.35261438780857
random_rows,157,ar1,40.72781535091518
random_rows,157,random_forest,36.56829164930869
random_rows,158,naive,65.62173057562057
random_rows,158,ar1,37.06527879942796
random_rows,158,random_forest,29.333810325586928
random_rows,159,naive,74.38127077266384
random_rows,159,ar1,49.915090131591896
random_rows,159,random_forest,30.710983775689115
random_rows,160,naive,77.62938187725538
random_rows,160,ar1,49.00690404692588
random_rows,160,random_forest,42.09790564248967
random_rows,161,naive,53.56833698224801
random_rows,161,ar1,44.89409758987915
random_rows,161,random_forest,40.427234536269395
random_rows,162,naive,56.889014048309484
random_rows,162,ar1,44.27534825313353
random_rows,162,random_forest,30.476995433626236
random_rows,163,naive,59.077194231434824
random_rows,163,ar1,40.43098140967784
random_rows,163,random_forest,31.08805526385283
random_rows,164,naive,61.330028842176254
random_rows,164,ar1,39.42899445879941
random_rows,164,random_forest,34.451645322677166
random_rows,165,naive,72.43900617300875
random_rows,165,ar1,41.77229511537207
random_rows,165,random_forest,37.35586717575955
random_rows,166,naive,63.94581655661355
random_rows,166,ar1,37.398686766271034
random_rows,166,random_forest,34.37433030248155
random_rows,167,naive,52.314670546469074
random_rows,167,ar1,44.25665629475201
random_rows,167,random_forest,26.40719131587102
random_rows,168,naive,53.086540181339565
random_rows,168,ar1,35.387828801225865
random_rows,168,random_forest,27.430706593167013
random_rows,169,naive,56.371862969215364
random_rows,169,ar1,43.908008856788264
random_rows,169,random_forest,38.36452436604097
random_rows,170,naive,64.73193401624319
random_rows,170,ar1,53.742588638209
random_rows,170,random_forest,51.40555153031823
random_rows,171,naive,50.72676894226907
random_rows,171,ar1,38.12786667157662
random_rows,171,random_forest,33.0460042868635
random_rows,172,naive,65.32084202961705
random_rows,172,ar1,36.55817778182768
random_rows,172,random_forest,30.746533479275325
random_rows,173,naive,47.32524788675846
random_rows,173,ar1,40.70700028749032
random_rows,173,random_forest,37.48758840954518
random_rows,174,naive,37.9215269398298
random_rows,174,ar1,28.496444226644318
random_rows,174,random_forest,29.48283434600737
random_rows,175,naive,42.407280175363574
random_rows,175,ar1,31.045490550426766
random_rows,175,random_forest,31.618977288264126
random_rows,176,naive,72.64661853283839
random_rows,176,ar1,55.968260824585954
random_rows,176,random_forest,50.17665761018732
random_rows,177,naive,43.18784398078946
random_rows,177,ar1,27.768331106282808
random_rows,177,random_forest,25.529926318639866
random_rows,178,naive,56.99914774218103
random_rows,178,ar1,51.302194210194386
random_rows,178,random_forest,44.980979706119776
random_rows,179,naive,49.9211452206921
random_rows,179,ar1,34.61722816801976
random_rows,179,random_forest,32.29614768091937
random_rows,180,naive,55.86291930016813
random_rows,180,ar1,36.386187922753166
random_rows,180,random_forest,32.011833106755695
random_rows,181,naive,46.166007788630765
random_rows,181,ar1,41.663464480951184
random_rows,181,random_forest,41.09916026190729
random_rows,182,naive,60.18435434610546
random_rows,182,ar1,40.68044447570902
random_rows,182,random_forest,36.86502342407473
random_rows,183,naive,49.47694444803637
random_rows,183,ar1,39.1379755491785
random_rows,183,random_forest,32.15727006467627
random_rows,184,naive,52.118206737575676
random_rows,184,ar1,41.11309483870006
random_rows,184,random_forest,36.59356091411312
random_rows,185,naive,64.60184460249884
random_rows,185,ar1,42.20670098053178
random_rows,185,random_forest,38.28464434367614
random_rows,186,naive,39.8541268178936
random_rows,186,ar1,29.28870898971543
random_rows,186,random_forest,25.6464455534598
random_rows,187,naive,50.177017630696774
random_rows,187,ar1,34.190931001308805
random_rows,187,random_forest,35.88154451826688
random_rows,188,naive,46.82041535096294
random_rows,188,ar1,35.36809651011329
random_rows,188,random_forest,33.336600711246334
random_rows,189,naive,48.51659377579659
random_rows,189,ar1,37.387485555300216
random_rows,189,random_forest,33.932092419462805
random_rows,190,naive,59.795189659851836
random_rows,190,ar1,41.35196520560815
random_rows,190,random_forest,37.58879171411451
random_rows,191,naive,70.37003673086195
random_rows,191,ar1,49.82280718360054
random_rows,191,random_forest,32.23283401833089
random_rows,192,naive,55.81848109961061
random_rows,192,ar1,29.716581518937975
random_rows,192,random_forest,30.95788007873037
random_rows,193,naive,75.34058317750167
random_rows,193,ar1,63.76025525357136
random_rows,193,random_forest,48.978277099680035
random_rows,194,naive,67.60248850782123
random_rows,194,ar1,45.67397389534478
random_rows,194,random_forest,40.293480881085685
random_rows,195,naive,43.042086594592476
random_rows,195,ar1,31.95550816622527
random_rows,195,random_forest,30.910644252828575
random_rows,196,naive,50.25769002137253
random_rows,196,ar1,33.079741995736136
random_rows,196,random_forest,29.91460008204255
random_rows,197,naive,57.751901268718605
random_rows,197,ar1,40.1264631273496
random_rows,197,random_forest,35.910875042562374
random_rows,198,naive,64.00903871771041
random_rows,198,ar1,65.58439616846285
random_rows,198,random_forest,42.46145479078108
random_rows,199,naive,51.69342875927155
random_rows,199,ar1,30.063489947619637
random_rows,199,random_forest,29.409949816095946
new_periods,0,naive,50.8828384967288
new_periods,0,ar1,38.73357272760046
new_periods,0,random_forest,36.489210533830615
new_periods,1,naive,86.0430613106729
new_periods,1,ar1,53.44937685836431
new_periods,1,random_forest,56.186263103176294
new_periods,2,naive,40.61524196541723
new_periods,2,ar1,25.902590983704975
new_periods,2,random_forest,26.755404153564815
new_periods,3,naive,86.0430613106729
new_periods,3,ar1,53.44937685836431
new_periods,3,random_forest,56.186263103176294
new_periods,4,naive,83.97768043760246
new_periods,4,ar1,54.99903211045471
new_periods,4,random_forest,67.37064188273845
new_periods,5,naive,86.0430613106729
new_periods,5,ar1,53.44937685836431
new_periods,5,random_forest,56.186263103176294
new_periods,6,naive,61.49580062053276
new_periods,6,ar1,46.77509251331203
new_periods,6,random_forest,46.008902476644884
new_periods,7,naive,86.0430613106729
new_periods,7,ar1,53.44937685836431
new_periods,7,random_forest,56.186263103176294
new_periods,8,naive,42.757604646320395
new_periods,8,ar1,28.9948570439541
new_periods,8,random_forest,28.666778831765583
new_periods,9,naive,86.0430613106729
new_periods,9,ar1,53.44937685836431
new_periods,9,random_forest,56.186263103176294
new_periods,10,naive,79.66310326826276
new_periods,10,ar1,49.37650105261494
new_periods,10,random_forest,47.41400244067638
new_periods,11,naive,86.0430613106729
new_periods,11,ar1,53.44937685836431
new_periods,11,random_forest,56.186263103176294
new_periods,12,naive,42.2954773651718
new_periods,12,ar1,27.998669506897382
new_periods,12,random_forest,30.683164211678346
new_periods,13,naive,86.0430613106729
new_periods,13,ar1,53.44937685836431
new_periods,13,random_forest,56.186263103176294
new_periods,14,naive,34.595995061493255
new_periods,14,ar1,23.856453567877605
new_periods,14,random_forest,26.17546428082009
new_periods,15,naive,86.0430613106729
new_periods,15,ar1,53.44937685836431
new_periods,15,random_forest,56.186263103176294
new_periods,16,naive,83.97768043760246
new_periods,16,ar1,54.99903211045471
new_periods,16,random_forest,67.37064188273845
new_periods,17,naive,86.0430613106729
new_periods,17,ar1,53.44937685836431
new_periods,17,random_forest,56.186263103176294
new_periods,18,naive,64.57752330062682
new_periods,18,ar1,43.5486606882736
new_periods,18,random_forest,43.99979501931687
new_periods,19,naive,86.0430613106729
new_periods,19,ar1,53.44937685836431
new_periods,19,random_forest,56.186263103176294
new_periods,20,naive,82.2367238613389
new_periods,20,ar1,54.046540044307996
new_periods,20,random_forest,54.67567882360251
new_periods,21,naive,86.0430613106729
new_periods,21,ar1,53.44937685836431
new_periods,21,random_forest,56.186263103176294
new_periods,22,naive,83.97768043760246
new_periods,22,ar1,54.99903211045471
new_periods,22,random_forest,67.37064188273847
new_periods,23,naive,86.0430613106729
new_periods,23,ar1,53.44937685836431
new_periods,23,random_forest,56.186263103176294
new_periods,24,naive,73.25847044615536
new_periods,24,ar1,46.29985517046925
new_periods,24,random_forest,41.40505864459235
new_periods,25,naive,86.0430613106729
new_periods,25,ar1,53.44937685836431
new_periods,25,random_forest,56.186263103176294
new_periods,26,naive,92.72242539090473
new_periods,26,ar1,58.93527903986021
new_periods,26,random_forest,78.94585111826294
new_periods,27,naive,86.0430613106729
new_periods,27,ar1,53.44937685836431
new_periods,27,random_forest,56.186263103176294
new_periods,28,naive,41.291651406779316
new_periods,28,ar1,26.195306670583864
new_periods,28,random_forest,27.467871942482436
new_periods,29,naive,86.0430613106729
new_periods,29,ar1,53.44937685836431
new_periods,29,random_forest,56.186263103176294
new_periods,30,naive,79.66310326826276
new_periods,30,ar1,49.37650105261494
new_periods,30,random_forest,47.41400244067638
new_periods,31,naive,86.0430613106729
new_periods,31,ar1,53.44937685836431
new_periods,31,random_forest,56.186263103176294
new_periods,32,naive,64.4022597616987
new_periods,32,ar1,41.281103154371095
new_periods,32,random_forest,42.91884395927278
new_periods,33,naive,86.0430613106729
new_periods,33,ar1,53.44937685836431
new_periods,33,random_forest,56.186263103176294
new_periods,34,naive,68.8958099817459
new_periods,34,ar1,48.61768199673503
new_periods,34,random_forest,48.36605385454021
new_periods,35,naive,86.0430613106729
new_periods,35,ar1,53.44937685836431
new_periods,35,random_forest,56.186263103176294
new_periods,36,naive,31.987834319430696
new_periods,36,ar1,22.107233503526786
new_periods,36,random_forest,23.88011214683088
new_periods,37,naive,86.0430613106729
new_periods,37,ar1,53.44937685836431
new_periods,37,random_forest,56.186263103176294
new_periods,38,naive,20.677813232252284
new_periods,38,ar1,17.364293624563395
new_periods,38,random_forest,48.718069875059115
new_periods,39,naive,86.0430613106729
new_periods,39,ar1,53.44937685836431
new_periods,39,random_forest,56.186263103176294
new_periods,40,naive,29.191695032100686
new_periods,40,ar1,19.7458306306205
new_periods,40,random_forest,24.101949624730803
new_periods,41,naive,86.0430613106729
new_periods,41,ar1,53.44937685836431
new_periods,41,random_forest,56.186263103176294
new_periods,42,naive,41.291651406779316
new_periods,42,ar1,26.195306670583864
new_periods,42,random_forest,27.467871942482436
new_periods,43,naive,86.0430613106729
new_periods,43,ar1,53.44937685836431
new_periods,43,random_forest,56.186263103176294
new_periods,44,naive,79.66310326826276
new_periods,44,ar1,49.37650105261494
